beach,lat,lon
637,38.52098333,14.96605556
638,38.52116667,14.93361389
639,38.52201667,14.93889722
640,38.52398889,14.95594444
641,38.52406667,14.94068333
642,38.52487778,16.59038333
643,38.54627222,14.82717222
644,38.54705833,15.92416667
645,38.54711111,14.82996389
646,38.54904722,15.30684167
647,38.54934444,9.856702778
648,38.54956667,14.81974722
649,38.55609167,14.34864722
650,38.56161111,9.181658333
651,38.56161111,9.181691667
652,38.56185278,14.550575
653,38.56441667,14.58568056
654,38.57006111,16.57331111
655,38.57350556,16.57405833
656,38.57411389,16.57185
657,38.5769,14.80309444
658,38.57987222,14.79375833
659,38.58146111,14.83925833
660,38.58339722,14.84545833
661,38.58434722,14.54324167
662,38.584525,14.54239167
663,38.59571667,20.65860833
664,38.59886944,16.57328333
665,38.60003611,14.83940833
666,38.61067222,10.42989167
667,38.61156944,15.84739167
668,38.61161944,15.83597778
669,38.61365278,15.84824722
670,38.61666667,15.83333333
671,38.61690556,15.83223889
672,38.62184444,16.56467222
673,38.625125,15.06237778
674,38.62842222,12.03453333
675,38.63046944,20.59935556
676,38.63141944,15.82990278
677,38.63696944,15.07579722
678,38.64565556,16.558075
679,38.64660278,16.55910278
680,38.64747778,16.55788889
681,38.64860556,16.55798333
682,38.64868333,16.56012222
683,38.64973611,16.55910278
684,38.65061111,16.55798611
685,38.65185,16.55733333
686,38.65316111,16.55724167
687,38.65628611,16.55841944
688,38.66087778,15.11383333
689,38.66591944,20.7229
690,38.66723056,15.28696667
691,38.67933056,15.89308333
692,38.68054444,13.186225
693,38.681575,1.454783333
694,38.68281111,14.76175278
695,38.68415833,16.55858611
696,38.68473056,15.89579722
697,38.685625,16.55796111
698,38.68638056,12.32234722
699,38.687225,15.87778611
700,38.68738611,16.55877778
701,38.68753333,16.557275
702,38.68905,16.5579
703,38.68924722,16.55633056
704,38.6898,15.90756389
705,38.69115556,16.55664722
706,38.69118056,15.85063056
707,38.69174444,13.17525556
708,38.69175833,8.418747222
709,38.69193611,16.55181667
710,38.69213056,16.54956111
711,38.69263611,16.55506389
712,38.69627778,15.89063611
713,38.69857778,13.18216111
714,38.70027778,8.421627778
715,38.7018,13.17980278
716,38.70914167,13.19311111
717,38.70925833,15.96609444
718,38.71249722,16.83475
719,38.71506111,15.96399444
720,38.71781111,16.54647222
721,38.71925833,15.88673889
722,38.71956389,13.15397778
723,38.72011944,16.10425833
724,38.72455556,16.04676111
725,38.72470278,16.04976944
726,38.72544167,16.54303889
727,38.726025,16.04789444
728,38.72642222,16.04744444
729,38.72659722,16.54361944
730,38.728825,16.09668056
731,38.73016111,16.54636944
732,38.73077778,16.54738333
733,38.73452222,16.091625
734,38.73494167,16.09957222
735,38.735275,14.17045
736,38.73638889,16.15829167
737,38.73736667,16.15890833
738,38.73768611,16.16017778
739,38.73796667,16.161725
740,38.73851944,16.16255833
741,38.74629722,16.17243056
742,38.74745,16.559725
743,38.74756111,16.15848333
744,38.74833611,16.56049167
745,38.74905833,16.56139722
746,38.74988333,16.56201389
747,38.75055556,16.14171667
748,38.75498889,16.17089722
749,38.76005833,16.04106667
750,38.77438611,15.21669167
751,38.77591944,16.57529444
752,38.77639167,16.57564722
753,38.77819444,16.58071111
754,38.78296111,15.22763056
755,38.78501111,16.5869
756,38.79274167,16.59459722
757,38.79589167,16.597975
758,38.79805278,15.24229722
759,38.80376944,16.60473056
760,38.80775833,15.23534722
761,38.81550278,16.61143889
762,38.81620278,16.61286944
763,38.81676111,16.61654167
764,38.81813333,16.61408611
765,38.81815278,16.62048056
766,38.82076944,16.61561111
767,38.82404444,18.41502778
768,38.825675,16.64124722
769,38.82790556,16.6459
770,38.82901944,16.64948056
771,38.84491111,16.11135278
772,38.85094444,16.68985278
773,38.85306944,16.69232222
774,38.85478611,16.69687222
